attacker_delay,outcome,attacker_start_time,Document_lookup_start,Document_lookup_end,Blob_fetch_start,Blob_fetch_end,Initial_sec_validation_start,Initial_sec_validation_end,Document_marked_safe_start,Document_marked_safe_end,Dispatch_to_agent_start,Dispatch_to_agent_end,Agent_retrieves_document_state_start,Agent_retrieves_document_state_end,Agent_retrieves_document_start,Agent_retrieves_document_end,attacker_modify_time,attacker_modify_done,blob_read_time
8,leak,01:10:02.898070,01:10:02.898070,01:10:02.898706,01:10:02.898706,01:10:02.899937,01:10:02.899937,01:10:02.901434,01:10:02.901434,01:10:02.910751,01:10:02.910776,01:10:02.924899,01:10:02.924899,01:10:02.930265,01:10:03.367276,01:10:03.372805,01:10:02.906634,01:10:02.906747,01:10:02.899427
8,safe,01:10:05.917196,01:10:05.917196,01:10:05.917576,01:10:05.917576,01:10:05.919180,01:10:05.919180,01:10:05.920829,01:10:05.920829,01:10:05.935655,01:10:05.935709,01:10:05.953944,01:10:05.953944,01:10:05.960930,01:10:06.401948,01:10:06.407961,01:10:05.925774,01:10:05.925883,01:10:05.918274
8,leak,01:10:10.965899,01:10:10.965899,01:10:10.966354,01:10:10.966354,01:10:10.967841,01:10:10.967841,01:10:10.970374,01:10:10.970374,01:10:10.985603,01:10:10.985630,01:10:11.005296,01:10:11.005296,01:10:11.011190,01:10:11.454700,01:10:11.460384,01:10:10.974776,01:10:10.974872,01:10:10.967063
8,safe,01:10:14.585013,01:10:14.585013,01:10:14.585525,01:10:14.585525,01:10:14.586800,01:10:14.586800,01:10:14.588203,01:10:14.588203,01:10:14.597603,01:10:14.597625,01:10:14.611770,01:10:14.611770,01:10:14.617565,01:10:15.057604,01:10:15.063410,01:10:14.593397,01:10:14.593492,01:10:14.586228
8,leak,01:10:19.616666,01:10:19.616666,01:10:19.617059,01:10:19.617059,01:10:19.618529,01:10:19.618529,01:10:19.621022,01:10:19.621022,01:10:19.631356,01:10:19.631383,01:10:19.645778,01:10:19.645778,01:10:19.651433,01:10:20.092248,01:10:20.097613,01:10:19.636879,01:10:19.636999,01:10:19.617704
8,leak,01:10:22.794002,01:10:22.794002,01:10:22.794441,01:10:22.794441,01:10:22.795630,01:10:22.795630,01:10:22.797107,01:10:22.797107,01:10:22.806502,01:10:22.806527,01:10:22.820429,01:10:22.820429,01:10:22.826460,01:10:23.265382,01:10:23.271117,01:10:22.802559,01:10:22.802697,01:10:22.795124
8,leak,01:10:26.046163,01:10:26.046163,01:10:26.046552,01:10:26.046552,01:10:26.048136,01:10:26.048136,01:10:26.049635,01:10:26.049635,01:10:26.063158,01:10:26.063184,01:10:26.077241,01:10:26.077241,01:10:26.083133,01:10:26.520962,01:10:26.526689,01:10:26.054350,01:10:26.054447,01:10:26.047252
8,leak,01:10:30.709296,01:10:30.709296,01:10:30.709715,01:10:30.709715,01:10:30.711275,01:10:30.711275,01:10:30.712781,01:10:30.712781,01:10:30.726382,01:10:30.726405,01:10:30.737737,01:10:30.737737,01:10:30.743790,01:10:31.185485,01:10:31.190877,01:10:30.717358,01:10:30.717450,01:10:30.710436
8,leak,01:10:34.666289,01:10:34.666289,01:10:34.666724,01:10:34.666724,01:10:34.668020,01:10:34.668020,01:10:34.669715,01:10:34.669715,01:10:34.683378,01:10:34.683403,01:10:34.697070,01:10:34.697070,01:10:34.703375,01:10:35.144487,01:10:35.150190,01:10:34.674684,01:10:34.674967,01:10:34.667446
8,leak,01:10:38.390112,01:10:38.390112,01:10:38.390666,01:10:38.390666,01:10:38.391998,01:10:38.391998,01:10:38.393680,01:10:38.393680,01:10:38.408380,01:10:38.408416,01:10:38.423683,01:10:38.423683,01:10:38.429852,01:10:38.876926,01:10:38.882891,01:10:38.398488,01:10:38.398604,01:10:38.391408
16,leak,01:10:41.417914,01:10:41.417914,01:10:41.418317,01:10:41.418317,01:10:41.419800,01:10:41.419800,01:10:41.421427,01:10:41.421427,01:10:41.430968,01:10:41.430991,01:10:41.444805,01:10:41.444805,01:10:41.450708,01:10:41.889594,01:10:41.895072,01:10:41.434310,01:10:41.434406,01:10:41.418997
